Feature,Coefficient
means_of_attack_Kidnap-killing,2.5917900400564147
means_of_attack_Aerial bombardment,1.3588406285861696
country_Bangladesh,1.08081629328499
country_Rwanda,0.9622377855412483
means_of_attack_Unknown,0.9193831205598754
means_of_attack_Shelling,0.902029975350454
country_Israel,0.8851515213310748
actor_type_Non-state armed group: Regional,0.8275084655841085
country_Angola,0.8274238132733501
means_of_attack_Shooting,0.7170317463028925
